theta,eta,kappa
0.01171207191063622,0.012355616246799575,0.0016399155431805006
0.011714147843069362,0.012357899535822291,0.001642182962889931
0.011716226611595826,0.012360185973961848,0.001644453517634065
0.011718308219971782,0.012362475565470397,0.0016467272117475402
0.011720392671958436,0.012364768314605994,0.0016490040495709892
0.01172247997132172,0.012367064225632269,0.0016512840354510404
0.01172457012183204,0.012369363302818149,0.001653567173740338
0.011726663127264827,0.012371665550438466,0.0016558534687975423
0.011728758991400013,0.012373970972773374,0.0016581429249873404
0.011730857718022462,0.012376279574108836,0.0016604355466804535
0.011732959310921798,0.012378591358736422,0.0016627313382536469
0.011735063773892107,0.012380906330953,0.0016650303040897363
0.011737171110732718,0.01238322449506158,0.0016673324485775983
0.011739281325247332,0.01238554585537036,0.001669637776112179
0.0117413944212446,0.012387870416193372,0.001671946291094496
0.011743510402538026,0.012390198181850361,0.001674257997931657
0.011745629272945687,0.0123925291566665,0.0016765729010368617
0.011747751036290633,0.012394863344972813,0.0016788910048294115
0.011749875696400612,0.012397200751105873,0.0016812123137347184
0.01175200325710831,0.012399541379408076,0.0016835368321843126
0.01175413372225106,0.01240188523422732,0.0016858645646158521
0.01175626709567106,0.01240423231991725,0.0016881955154731323
0.011758403381215336,0.012406582640837202,0.0016905296892060868
0.011760542582735827,0.012408936201352317,0.0016928670902708084
0.011762684704089098,0.012411293005833216,0.0016952077231295482
0.011764829749136868,0.012413653058656582,0.0016975515922507277
